,Borough,Borough Latitude,Borough Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
141,Carlstadt,51.2221416,6.7733942,Pizzeria Lupo,51.226422501015875,6.775603777299227,Pizza Place
142,Carlstadt,51.2221416,6.7733942,Lobby Lounge,51.220509293296836,6.778252978828147,Lounge
143,Carlstadt,51.2221416,6.7733942,Block House,51.22681820320808,6.772182517353227,Steakhouse
144,Carlstadt,51.2221416,6.7733942,Starbucks Reserve,51.222868242939604,6.779787540435791,Coffee Shop
145,Carlstadt,51.2221416,6.7733942,Sir Walter,51.227453489170976,6.776805255748323,Bar
146,Carlstadt,51.2221416,6.7733942,Louis Vuitton,51.22515342436148,6.779291167651695,Boutique
147,Carlstadt,51.2221416,6.7733942,Rheintreppen,51.22746334217494,6.770819318879443,Plaza
148,Carlstadt,51.2221416,6.7733942,Schweine Janes,51.22612054056417,6.77299757318509,BBQ Joint
149,Carlstadt,51.2221416,6.7733942,velvet collective,51.221443,6.783349,Breakfast Spot
150,Carlstadt,51.2221416,6.7733942,Living Hotel De Medici,51.22733822533441,6.774459324697091,Hotel
151,Carlstadt,51.2221416,6.7733942,Roncalli's Apollo Varieté,51.21949565272733,6.766056237846544,Theater
152,Carlstadt,51.2221416,6.7733942,Manufactum brot&butter,51.223129010858884,6.780348760898115,Bakery
153,Carlstadt,51.2221416,6.7733942,Konditorei Heinemann,51.224845277808036,6.781112743800843,Dessert Shop
154,Carlstadt,51.2221416,6.7733942,Coffee Fellows,51.219831732703796,6.779403761851374,Coffee Shop
155,Carlstadt,51.2221416,6.7733942,K21 Ständehaus,51.21664355455374,6.773998887902013,Art Museum
156,Carlstadt,51.2221416,6.7733942,Sutton's Irish Pub,51.22689756852917,6.77537142026642,Irish Pub
157,Carlstadt,51.2221416,6.7733942,COS,51.220705069353635,6.7792668370977065,Clothing Store
158,Carlstadt,51.2221416,6.7733942,Holy Craft Beer Bar,51.228136,6.772739,Beer Bar
159,Carlstadt,51.2221416,6.7733942,ĂN BÁNH MÌ,51.22303512837481,6.781876318400575,Vietnamese Restaurant
